n,p,k,config,inference,var_order,val_order,trials,success_rate,avg_runtime,std_runtime,avg_checks,avg_backtracks,avg_steps
50,0.12,4,fc+mrv+lcv,fc,mrv,lcv,5,1.0,0.007736921310424805,0.005412511804775519,78.6,28.6,
50,0.12,4,fc+dom_wdeg+lcv,fc,dom_wdeg,lcv,5,1.0,0.013405752182006837,0.00335003558902196,51.4,1.4,
50,0.12,4,mac+mrv+lcv,mac,mrv,lcv,5,1.0,0.009300041198730468,0.0033391670044226485,70.2,20.2,
50,0.12,4,mac+dom_wdeg+lcv,mac,dom_wdeg,lcv,5,1.0,0.009583806991577149,0.004297764522992938,50,0,
50,0.12,4,min_conflicts,min_conflicts,,lcv,5,0.8,2.561445188522339,5.710848997514596,6376509,,20064.8
50,0.14,4,fc+mrv+lcv,fc,mrv,lcv,5,1.0,0.011792707443237304,0.010483466433387914,58.6,8.6,
50,0.14,4,fc+dom_wdeg+lcv,fc,dom_wdeg,lcv,5,1.0,0.012821006774902343,0.013603830040308679,64.6,14.6,
50,0.14,4,mac+mrv+lcv,mac,mrv,lcv,5,1.0,0.013707685470581054,0.0054590634827531405,52,2,
50,0.14,4,mac+dom_wdeg+lcv,mac,dom_wdeg,lcv,5,1.0,0.012584114074707031,0.006755345146814268,54.4,4.4,
50,0.14,4,min_conflicts,min_conflicts,,lcv,5,0.2,11.33468804359436,7.651736343318578,28779957.6,,80022.4
50,0.16,4,fc+mrv+lcv,fc,mrv,lcv,5,0.2,0.6791558742523194,0.8264062662733269,5154,5144,
50,0.16,4,fc+dom_wdeg+lcv,fc,dom_wdeg,lcv,5,0.2,1.0767772674560547,1.5454127691427868,4195.6,4185.6,
50,0.16,4,mac+mrv+lcv,mac,mrv,lcv,5,0.2,0.7942318916320801,0.9096181049534836,1986,1976,
50,0.16,4,mac+dom_wdeg+lcv,mac,dom_wdeg,lcv,5,0.2,0.6997931003570557,1.0141300253250634,905.6,895.6,
50,0.16,4,min_conflicts,min_conflicts,,lcv,5,0.0,20.543741083145143,13.505177708904208,40624062.6,,100000
50,0.18,4,fc+mrv+lcv,fc,mrv,lcv,5,0.0,0.1717165470123291,0.16847021019933311,1158.4,1158.4,
50,0.18,4,fc+dom_wdeg+lcv,fc,dom_wdeg,lcv,5,0.0,0.30641841888427734,0.18009452212077634,1390.8,1390.8,
50,0.18,4,mac+mrv+lcv,mac,mrv,lcv,5,0.0,0.2609084129333496,0.2781017102916607,342.4,342.4,
50,0.18,4,mac+dom_wdeg+lcv,mac,dom_wdeg,lcv,5,0.0,0.21958770751953124,0.11360245216948946,279.4,279.4,
50,0.18,4,min_conflicts,min_conflicts,,lcv,5,0.0,17.78156714439392,5.963683661295828,43812068.2,,100000
50,0.2,4,fc+mrv+lcv,fc,mrv,lcv,5,0.0,0.14875497817993164,0.15231483525323647,1705.6,1705.6,
50,0.2,4,fc+dom_wdeg+lcv,fc,dom_wdeg,lcv,5,0.0,0.31813778877258303,0.3762183906775808,1983.4,1983.4,
50,0.2,4,mac+mrv+lcv,mac,mrv,lcv,5,0.0,0.20101308822631836,0.18208174935415875,467.2,467.2,
50,0.2,4,mac+dom_wdeg+lcv,mac,dom_wdeg,lcv,5,0.0,0.21127943992614745,0.18650084326134475,383.6,383.6,
50,0.2,4,min_conflicts,min_conflicts,,lcv,5,0.0,13.930211687088013,0.5697735352806649,43157383.2,,100000
50,0.22,4,fc+mrv+lcv,fc,mrv,lcv,5,0.0,0.05719943046569824,0.038388409429413975,390.4,390.4,
